acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,genus,genusKey,species,speciesKey,iucnRedListCategory,splitScientificName,splitExtras,commonName,Subspecies
"Thamnistes anabatinus P.L.Sclater & Salvin, 1860",91,SPECIES,ACCEPTED,Thamnistes,2490054.0,Thamnistes anabatinus,9485798.0,LC,Thamnistes anabatinus,"P.L.Sclater & Salvin, 1860",Russet Antshrike,
"Drymophila striaticeps Chapman, 1912",301,SPECIES,ACCEPTED,Drymophila,2490056.0,Drymophila striaticeps,7493446.0,LC,Drymophila striaticeps,"Chapman, 1912",Streak-headed Antbird,
"Cercomacra tyrannina (P.L.Sclater, 1855)",39,SPECIES,SYNONYM,Cercomacra,2490128.0,Cercomacra tyrannina,2490136.0,LC,Cercomacroides tyrannina,"(P.L.Sclater, 1855)",Dusky Antbird,
"Myrmeciza immaculata (Lafresnaye, 1845)",1,SPECIES,ACCEPTED,Myrmeciza,2490145.0,Myrmeciza immaculata,2490153.0,NE,Myrmeciza immaculata,"(Lafresnaye, 1845)",Blue-lored Antbird,
"Myrmeciza exsul P.L.Sclater, 1859",1341,SPECIES,SYNONYM,Myrmeciza,2490145.0,Myrmeciza exsul,2490163.0,LC,Poliocrania exsul,"(P.L.Sclater, 1859)",Chestnut-backed Antbird,
"Myrmotherula pacifica Hellmayr, 1911",1227,SPECIES,ACCEPTED,Myrmotherula,2490167.0,Myrmotherula pacifica,2490172.0,LC,Myrmotherula pacifica,"Hellmayr, 1911",Pacific Antwren,
"Myrmotherula axillaris (Vieillot, 1817)",9,SPECIES,ACCEPTED,Myrmotherula,2490167.0,Myrmotherula axillaris,2490191.0,LC,Myrmotherula axillaris,"(Vieillot, 1817)",White-flanked Antwren,
"Myrmotherula schisticolor (Lawrence, 1865)",879,SPECIES,ACCEPTED,Myrmotherula,2490167.0,Myrmotherula schisticolor,2490202.0,LC,Myrmotherula schisticolor,"(Lawrence, 1865)",Slaty Antwren,"Myrmotherula schisticolor schisticolor, 0.005720823798627002"
"Taraba major (Vieillot, 1816)",424,SPECIES,ACCEPTED,Taraba,2490223.0,Taraba major,2490224.0,LC,Taraba major,"(Vieillot, 1816)",Great Antshrike,"Taraba major transandeanus, 0.002364066193853428"
"Microrhopias quixensis (Cornalia, 1849)",25,SPECIES,ACCEPTED,Microrhopias,2490239.0,Microrhopias quixensis,2490240.0,LC,Microrhopias quixensis,"(Cornalia, 1849)",Dot-winged Antwren,
