gbif_scientificName,wiki_commonName
Henicorhina leucophrys leucophrys,Grey-breasted Wood Wren
Cantorchilus nigricapillus,Bay Wren
Cantorchilus nigricapillus nigricapillus,Bay Wren
Thryothorus nigricapillus,Bay Wren
Pheugopedius mystacalis,Whiskered Wren
Pheugopedius mystacalis mystacalis,Whiskered Wren
Pheugopedius euophrys,Plain-tailed Wren
Microcerculus marginatus,Southern Nightingale-Wren
Microcerculus marginatus taeniatus,Southern Nightingale-Wren
Cyclarhis gujanensis,Rufous-browed Peppershrike
Cyclarhis nigrirostris,Black-billed Peppershrike
Vireo flavoviridis,Yellow-green Vireo
Vireo chivi,Chivi Vireo
Vireo olivaceus,Red-eyed Vireo
Vireo chivi griseobarbatus,Chivi Vireo
Vireo olivaceus griseobarbatus,Red-eyed Vireo
Vireo masteri,Chocó Vireo
Vireo leucophrys,Brown-capped Vireo
Vireo leucophrys josephae,Brown-capped Vireo
Vireo flavifrons,Yellow-throated Vireo
Vireolanius leucotis,Slaty-capped Shrike-Vireo
Pachysylvia decurtata,Lesser Greenlet
Tunchiornis ochraceiceps,Tawny-crowned Greenlet
Microbates cinereiventris,Tawny-faced Gnatwren
Polioptila bilineata,White-browed Gnatcatcher
Polioptila bilineata bilineata,White-browed Gnatcatcher
Grallaricula flavirostris,Ochre-breasted Antpitta
Grallaricula flavirostris mindoensis,Ochre-breasted Antpitta
Grallaria gigantea,Giant Antpitta
Grallaria gigantea hylodroma,Giant Antpitta
Grallaria haplonota,Plain-backed Antpitta
Grallaria alleni,Moustached Antpitta
Grallaria ruficapilla,Chestnut-crowned Antpitta
Grallaria flavotincta,Yellow-breasted Antpitta
Grallaria guatimalensis,Scaled Antpitta
Grallaria guatimalensis regulus,Scaled Antpitta
Grallaria quitensis,Tawny Antpitta
Mitrospingus cassinii,Dusky-faced Tanager
Chlorospingus flavigularis,Yellow-throated Chlorospingus
Chlorospingus flavigularis marginatus,Yellow-throated Chlorospingus
Chlorospingus semifuscus,Dusky Chlorospingus
Chlorospingus semifuscus semifuscus,Dusky Chlorospingus
Chlorospingus canigularis,Ashy-throated Chlorospingus
Chlorospingus canigularis conspicillatus,Ashy-throated Chlorospingus
Arremonops conirostris,Black-striped Sparrow
Arremonops conirostris striaticeps,Black-striped Sparrow
Atlapetes tricolor,Tricolored Brushfinch
Atlapetes tricolor crassus,Tricolored Brushfinch
Atlapetes crassus,Choco Brushfinch
Atlapetes latinuchus,Yellow-breasted Brushfinch
Atlapetes leucopterus,White-winged Brushfinch
Arremon aurantiirostris,Orange-billed Sparrow
Arremon aurantiirostris occidentalis,Orange-billed Sparrow
Arremon castaneiceps,Olive Finch
Arremon assimilis assimilis,Grey-browed Brushfinch
