sort v2024,species_code,English name,scientific name
1216.0,blytra1,Blyth's Tragopan,Tragopan blythii
1219.0,temtra1,Temminck's Tragopan,Tragopan temminckii
1220.0,cabtra1,Cabot's Tragopan,Tragopan caboti
1223.0,verpar1,Chestnut-throated Monal-Partridge,Tetraophasis obscurus
1224.0,szepar1,Buff-throated Monal-Partridge,Tetraophasis szechenyii
1225.0,himmon1,Himalayan Monal,Lophophorus impejanus
1226.0,sclmon1,Sclater's Monal,Lophophorus sclateri
1231.0,chimon1,Chinese Monal,Lophophorus lhuysii
1232.0,kokphe1,Koklass Pheasant,Pucrasia macrolopha
1242.0,wiltur,Wild Turkey,Meleagris gallopavo
1250.0,ocetur1,Ocellated Turkey,Meleagris ocellata
1251.0,rufgro,Ruffed Grouse,Bonasa umbellus
1266.0,hazgro1,Hazel Grouse,Tetrastes bonasia
1279.0,sevgro1,Chinese Grouse,Tetrastes sewerzowi
1280.0,saggro,Greater Sage-Grouse,Centrocercus urophasianus
1281.0,gusgro,Gunnison Sage-Grouse,Centrocercus minimus
1283.0,dusgro,Dusky Grouse,Dendragapus obscurus
1288.0,soogro1,Sooty Grouse,Dendragapus fuliginosus
1294.0,shtgro,Sharp-tailed Grouse,Tympanuchus phasianellus
1303.0,grpchi,Greater Prairie-Chicken,Tympanuchus cupido
1308.0,lepchi,Lesser Prairie-Chicken,Tympanuchus pallidicinctus
1311.0,whtpta1,White-tailed Ptarmigan,Lagopus leucura
1317.0,wilpta,Willow Ptarmigan,Lagopus lagopus
1340.0,rocpta1,Rock Ptarmigan,Lagopus muta
1372.0,sibgro2,Siberian Grouse,Falcipennis falcipennis
1373.0,sprgro,Spruce Grouse,Canachites canadensis
1385.0,wescap1,Western Capercaillie,Tetrao urogallus
1394.0,blbcap1,Black-billed Capercaillie,Tetrao urogalloides
1400.0,blagro1,Black Grouse,Lyrurus tetrix
1409.0,caugro1,Caucasian Grouse,Lyrurus mlokosiewiczi
1411.0,lobpar3,Long-billed Partridge,Rhizothera longirostris
1412.0,lobpar2,Dulit Partridge,Rhizothera dulitensis
1413.0,tibpar1,Tibetan Partridge,Perdix hodgsoniae
1417.0,grypar,Gray Partridge,Perdix perdix
1425.0,daupar1,Daurian Partridge,Perdix dauurica
1428.0,copphe1,Copper Pheasant,Syrmaticus soemmerringii
1434.0,reephe1,Reeves's Pheasant,Syrmaticus reevesii
1435.0,mikphe1,Mikado Pheasant,Syrmaticus mikado
1436.0,ellphe1,Elliot's Pheasant,Syrmaticus ellioti
1437.0,humphe1,Mrs. Hume's Pheasant,Syrmaticus humiae
1440.0,golphe,Golden Pheasant,Chrysolophus pictus
1442.0,laaphe1,Lady Amherst's Pheasant,Chrysolophus amherstiae
1444.0,rinphe1,Ring-necked Pheasant,Phasianus colchicus
1476.0,rinphe2,Green Pheasant,Phasianus versicolor
1482.0,chephe1,Cheer Pheasant,Catreus wallichii
1483.0,whieap2,Tibetan Eared-Pheasant,Crossoptilon harmani
1484.0,whieap1,White Eared-Pheasant,Crossoptilon crossoptilon
1491.0,brephe1,Brown Eared-Pheasant,Crossoptilon mantchuricum
1492.0,blephe1,Blue Eared-Pheasant,Crossoptilon auritum
1493.0,edwphe1,Edwards's Pheasant,Lophura edwardsi
1494.0,swiphe1,Swinhoe's Pheasant,Lophura swinhoii
1495.0,bulphe1,Bulwer's Pheasant,Lophura bulweri
1496.0,kalphe,Kalij Pheasant,Lophura leucomelanos
1506.0,silphe,Silver Pheasant,Lophura nycthemera
1523.0,crefir5,Malayan Crestless Fireback,Lophura erythrophthalma
1524.0,crefir6,Bornean Crestless Fireback,Lophura pyronota
1525.0,siafir1,Siamese Fireback,Lophura diardi
1526.0,salphe1,Salvadori's Pheasant,Lophura inornata
1529.0,crefir3,Malayan Crested Fireback,Lophura rufa
1530.0,crefir4,Bornean Crested Fireback,Lophura ignita
1533.0,crearg1,Vietnamese Crested Argus,Rheinardia ocellata
1534.0,crearg3,Malayan Crested Argus,Rheinardia nigrescens
1535.0,grearg1,Great Argus,Argusianus argus
1538.0,conpea1,Congo Peacock,Afropavo congensis
1539.0,compea,Indian Peafowl,Pavo cristatus
1541.0,grepea1,Green Peafowl,Pavo muticus
1546.0,scbpar1,Scaly-breasted Partridge,Tropicoperdix chloropus
1555.0,chnpar1,Chestnut-necklaced Partridge,Tropicoperdix charltonii
1558.0,chnpar3,Sabah Partridge,Tropicoperdix graydoni
1560.0,crhpar1,Crimson-headed Partridge,Haematortyx sanguiniceps
1561.0,redspu1,Red Spurfowl,Galloperdix spadicea
1565.0,paispu1,Painted Spurfowl,Galloperdix lunulata
1567.0,ceyspu1,Sri Lanka Spurfowl,Galloperdix bicalcarata
1568.0,palpep1,Palawan Peacock-Pheasant,Polyplectron napoleonis
1569.0,bopphe1,Bornean Peacock-Pheasant,Polyplectron schleiermacheri
1570.0,mapphe1,Malayan Peacock-Pheasant,Polyplectron malacense
1571.0,gepphe1,Germain's Peacock-Pheasant,Polyplectron germaini
1572.0,grypep3,Hainan Peacock-Pheasant,Polyplectron katsumatae
1573.0,grypep2,Gray Peacock-Pheasant,Polyplectron bicalcaratum
