"gbif_id","gbif_common_name","ISO 639-2 Code","ISO 639-1 Code","English name of Language","French name of Language","German name of Language"
"8894817","breshka e detit","sqi","sq","Albanian","albanais","Albanisch"
"9789983","breshka e detit lëkurore","sqi","sq","Albanian","albanais","Albanisch"
"2442225","breshka e gjelbërt  e detit","sqi","sq","Albanian","albanais","Albanisch"
"2497295","bufa","sqi","sq","Albanian","albanais","Albanisch"
"2497295","bufi veshshkurtër","sqi","sq","Albanian","albanais","Albanisch"
"2480876","çafka e bardhë e vogël","sqi","sq","Albanian","albanais","Albanisch"
"2480934","çafka e kuqerreme","sqi","sq","Albanian","albanais","Albanisch"
"2480906","çafka e verdhë","sqi","sq","Albanian","albanais","Albanisch"
"2480801","çafka sqeplugë","sqi","sq","Albanian","albanais","Albanisch"
"2480876","çajma e bardhë e vogël","sqi","sq","Albanian","albanais","Albanisch"
"5219219","cakalli","sqi","sq","Albanian","albanais","Albanisch"
"2480876","çapka e bardhë e vogël","sqi","sq","Albanian","albanais","Albanisch"
"2480934","çapka e rrushit","sqi","sq","Albanian","albanais","Albanisch"
"2480906","çapka e verdhë","sqi","sq","Albanian","albanais","Albanisch"
"2480242","cingla","sqi","sq","Albanian","albanais","Albanisch"
"2480242","cinja","sqi","sq","Albanian","albanais","Albanisch"
"9515886","dallandyshja bishtgërshanë","sqi","sq","Albanian","albanais","Albanisch"
"9515886","dallëndyshja bishtgërshërë","sqi","sq","Albanian","albanais","Albanisch"
"2441122","dash i eger","sqi","sq","Albanian","albanais","Albanisch"
"2440447","delfin i madh","sqi","sq","Albanian","albanais","Albanisch"
"8324617","delfini i zakonshëm","sqi","sq","Albanian","albanais","Albanisch"
"5220055","delfini me shirita","sqi","sq","Albanian","albanais","Albanisch"
"2441122","delja e eger","sqi","sq","Albanian","albanais","Albanisch"
"7705930","derri i eger","sqi","sq","Albanian","albanais","Albanisch"
"5219243","dhelpra","sqi","sq","Albanian","albanais","Albanisch"
"5220170","dhia e eger","sqi","sq","Albanian","albanais","Albanisch"
"2490266","drenja e luadhit","sqi","sq","Albanian","albanais","Albanisch"
"2440958","dreri","sqi","sq","Albanian","albanais","Albanisch"
"5220136","dreri lobator","sqi","sq","Albanian","albanais","Albanisch"
"9616058","fajkua","sqi","sq","Albanian","albanais","Albanisch"
"9616058","fakjonja","sqi","sq","Albanian","albanais","Albanisch"
"9616058","falkoni","sqi","sq","Albanian","albanais","Albanisch"
"2494422","finku","sqi","sq","Albanian","albanais","Albanisch"
"5229126","fisnikorja këmbëkuqe","sqi","sq","Albanian","albanais","Albanisch"
"9691034","flamingo i kuq","sqi","sq","Albanian","albanais","Albanisch"
"2482048","futësi i vogël","sqi","sq","Albanian","albanais","Albanisch"
"2494686","gardalina","sqi","sq","Albanian","albanais","Albanisch"
"2480876","gata e bardhë e vogël","sqi","sq","Albanian","albanais","Albanisch"
"9797180","gata e përhime","sqi","sq","Albanian","albanais","Albanisch"
"2480876","gatëza e bardhë e vogël","sqi","sq","Albanian","albanais","Albanisch"
"9797180","gatëza e përhime","sqi","sq","Albanian","albanais","Albanisch"
"2480876","gelca e bardhë e vogël","sqi","sq","Albanian","albanais","Albanisch"
"2481685","gjelaci bishtzi","sqi","sq","Albanian","albanais","Albanisch"
"2481685","gjelëza e madhe bishtzezë","sqi","sq","Albanian","albanais","Albanisch"
"2480589","gjeraqina","sqi","sq","Albanian","albanais","Albanisch"
"2480637","gjeraqina e shkurtës","sqi","sq","Albanian","albanais","Albanisch"
"5706486","gjeri","sqi","sq","Albanian","albanais","Albanisch"
"5231198","gjigjimsi","sqi","sq","Albanian","albanais","Albanisch"
"5706486","gjumashi i majme i pyllit","sqi","sq","Albanian","albanais","Albanisch"
"2403490","grua","sqi","sq","Albanian","albanais","Albanisch"
"2495455","gugashi","sqi","sq","Albanian","albanais","Albanisch"
"2495455","guhaku","sqi","sq","Albanian","albanais","Albanisch"
"2286060","gurca","sqi","sq","Albanian","albanais","Albanisch"
"2286060","gurrca","sqi","sq","Albanian","albanais","Albanisch"
"5231198","harabeli i malit","sqi","sq","Albanian","albanais","Albanisch"
"2480537","huta","sqi","sq","Albanian","albanais","Albanisch"
"2480420","huta e bletëve","sqi","sq","Albanian","albanais","Albanisch"
"5229167","huta e zezë bishtgërshërë","sqi","sq","Albanian","albanais","Albanisch"
"2480420","huta grenxa-ngrënëse","sqi","sq","Albanian","albanais","Albanisch"
"2480524","huta me kalca","sqi","sq","Albanian","albanais","Albanisch"
"9616058","kaçubeti","sqi","sq","Albanian","albanais","Albanisch"
"5229167","kaçubeti zeshkan","sqi","sq","Albanian","albanais","Albanisch"
"5229167","kaçybeti zeshkan","sqi","sq","Albanian","albanais","Albanisch"
"2433753","kajka","sqi","sq","Albanian","albanais","Albanisch"
"5201134","kale deti","sqi","sq","Albanian","albanais","Albanisch"
"5201134","kali i detit turishkurtër","sqi","sq","Albanian","albanais","Albanisch"
"2290374","kallamari","sqi","sq","Albanian","albanais","Albanisch"
"2290374","kalmari","sqi","sq","Albanian","albanais","Albanisch"
"5229126","kalorësi","sqi","sq","Albanian","albanais","Albanisch"
"5220126","kaprolli","sqi","sq","Albanian","albanais","Albanisch"
"4286942","karasi i artë","sqi","sq","Albanian","albanais","Albanisch"
"8123917","kashalot","sqi","sq","Albanian","albanais","Albanisch"
"2439838","kastori i amerikes","sqi","sq","Albanian","albanais","Albanisch"
"4409131","kastori i europes","sqi","sq","Albanian","albanais","Albanisch"
"8211070","ketri","sqi","sq","Albanian","albanais","Albanisch"
"2494329","kobeci","sqi","sq","Albanian","albanais","Albanisch"
"2480773","kojliku i zi","sqi","sq","Albanian","albanais","Albanisch"
"5185014","korali i kuq","sqi","sq","Albanian","albanais","Albanisch"
"2480259","korana","sqi","sq","Albanian","albanais","Albanisch"
"2482492","korbi","sqi","sq","Albanian","albanais","Albanisch"
"2482492","korraku","sqi","sq","Albanian","albanais","Albanisch"
"2482054","kredharaku i madh","sqi","sq","Albanian","albanais","Albanisch"
"2482048","kredharaku i vogël","sqi","sq","Albanian","albanais","Albanisch"
"2498255","kryekuqi","sqi","sq","Albanian","albanais","Albanisch"
"2498111","kryekuqja e madhe","sqi","sq","Albanian","albanais","Albanisch"
"2498255","kryekuqja e mjeme","sqi","sq","Albanian","albanais","Albanisch"
"2498259","kryekuqja e vogël","sqi","sq","Albanian","albanais","Albanisch"
"2494329","kryemadhi","sqi","sq","Albanian","albanais","Albanisch"
"5231918","kukja","sqi","sq","Albanian","albanais","Albanisch"
"9282206","kukuvajka e pyjeve","sqi","sq","Albanian","albanais","Albanisch"
