scientificName,IUCN_Species_Code,IUCN_common_name,altcommonNames,Synonym,eBird_Species_Code,eBird_common_name,IOC_common_name
Aegolius funereus,22689362,Boreal Owl,Tengmalm's Owl,,borowl,Boreal Owl,Boreal Owl
Aegolius gradyi,62184893,Bermuda Saw-whet Owl,,,bswowl1,Bermuda Saw-whet Owl,
Aegolius harrisii,22689378,Buff-fronted Owl,,,bufowl1,Buff-fronted Owl,Buff-fronted Owl
Aegolius ridgwayi,22689371,Unspotted Saw-whet Owl,,,uswowl1,Unspotted Saw-whet Owl,Unspotted Saw-whet Owl
Aegotheles affinis,60814512,Allied Owlet-nightjar,,,barown2,Vogelkop Owlet-nightjar,Vogelkop Owlet-nightjar
Aegotheles albertisi,22689576,Mountain Owlet-nightjar,Mountain Owlet-Nightjar,,moonig1,Mountain Owlet-nightjar,Mountain Owlet-nightjar
Aegotheles archboldi,22689572,Archbold's Owlet-nightjar,Archbold's Owlet-Nightjar,,,,
Aegotheles bennettii,60814475,Barred Owlet-nightjar,,,barown1,Barred Owlet-nightjar,Barred Owlet-nightjar
Aegotheles crinifrons,22689546,Moluccan Owlet-nightjar,Long-whiskered Owlet-Nightjar,,molown1,Moluccan Owlet-nightjar,Moluccan Owlet-nightjar
Aegotheles cristatus,22689555,Australian Owlet-nightjar,Australian Owlet-Nightjar,,auonig1,Australian Owlet-nightjar,Australian Owlet-nightjar
Aegotheles insignis,22689550,Feline Owlet-nightjar,,,feonig1,Feline Owlet-nightjar,Feline Owlet-nightjar
Aegotheles savesi,22689559,New Caledonian Owlet-nightjar,"Enigmatic Owlet-Nightjar, New Caledonian Owlet-Nightjar",,nconig1,New Caledonian Owlet-nightjar,New Caledonian Owlet-nightjar
Aegotheles tatei,22728459,Spangled Owlet-nightjar,,,spaown1,Starry Owlet-nightjar,Starry Owlet-nightjar
Aegotheles wallacii,22689568,Wallace's Owlet-nightjar,Wallace's Owlet-Nightjar,,waonig1,Wallace's Owlet-nightjar,Wallace's Owlet-nightjar
Aegypius monachus,22695231,Cinereous Vulture,"Black Vulture, Eurasian Black Vulture",,cinvul1,Cinereous Vulture,Cinereous Vulture
Aepypodius arfakianus,22678555,Wattled Brush-turkey,Wattled Brushturkey,,watbrt1,Wattled Brushturkey,Wattled Brushturkey
Aepypodius bruijnii,22678559,Waigeo Brush-turkey,Waigeo Brushturkey,,brubrt1,Waigeo Brushturkey,Waigeo Brushturkey
Aerodramus bartschi,22728583,Mariana Swiftlet,,"Aerodramus bartschi, Collocalia bartschi",marswi,Mariana Swiftlet,Mariana Swiftlet
Aerodramus brevirostris,60824542,Himalayan Swiftlet,,Collocalia rogersi,himswi2,Himalayan Swiftlet,Himalayan Swiftlet
Aerodramus elaphrus,22686507,Seychelles Swiftlet,,Collocalia elaphra,seyswi1,Seychelles Swiftlet,Seychelles Swiftlet
Aerodramus francicus,22686511,Mascarene Swiftlet,Mauritius Swiftlet,Collocalia francica,masswi1,Mascarene Swiftlet,Mascarene Swiftlet
Aerodramus fuciphagus,60847684,Edible-nest Swiftlet,,Collocalia germani,ednswi1,White-nest Swiftlet,Edible-nest Swiftlet
Aerodramus hirundinaceus,22686525,Mountain Swiftlet,,Collocalia hirundinacea,mouswi2,Mountain Swiftlet,Mountain Swiftlet
Aerodramus infuscatus,22686522,Moluccan Swiftlet,,Collocalia infuscata,molswi3,Halmahera Swiftlet,Halmahera Swiftlet
Aerodramus inquietus,22686576,Caroline Swiftlet,,Collocalia inquieta,caiswi1,Caroline Islands Swiftlet,Island Swiftlet
Aerodramus leucophaeus,60838951,Polynesian Swiftlet,,Collocalia ocista,polswi1,Polynesian Swiftlet,Tahiti Swiftlet
Aerodramus maximus,22686610,Black-nest Swiftlet,,Collocalia maxima,blnswi1,Black-nest Swiftlet,Black-nest Swiftlet
Aerodramus mearnsi,22686519,Philippine Swiftlet,,Collocalia mearnsi,phiswi1,Philippine Swiftlet,Philippine Swiftlet
Aerodramus nuditarsus,22728501,Bare-legged Swiftlet,,Collocalia nuditarsus,balswi1,Bare-legged Swiftlet,Bare-legged Swiftlet
Aerodramus orientalis,22686555,Mayr's Swiftlet,,Collocalia orientalis,mayswi1,Mayr's Swiftlet,Mayr's Swiftlet
Aerodramus papuensis,22686552,Papuan Swiftlet,,Collocalia papuensis,papswi1,Three-toed Swiftlet,Three-toed Swiftlet
Aerodramus pelewensis,22686573,Palau Swiftlet,,Collocalia pelewensis,palswi1,Palau Swiftlet,Palau Swiftlet
Aerodramus salangana,22686558,Mossy-nest Swiftlet,,Collocalia salangana,monswi2,Mossy-nest Swiftlet,Mossy-nest Swiftlet
Aerodramus sawtelli,22686581,Atiu Swiftlet,"Aitu Swiftlet, Sawtell's Swiftlet","Aerodramus sawtelli, Collocalia sawtelli",atiswi1,Atiu Swiftlet,Atiu Swiftlet
Aerodramus spodiopygius,22686528,White-rumped Swiftlet,,,whrswi2,White-rumped Swiftlet,White-rumped Swiftlet
Aerodramus terraereginae,22686534,Australian Swiftlet,,,ausswi1,Australian Swiftlet,Australian Swiftlet
Aerodramus unicolor,22686516,Indian Swiftlet,,Collocalia unicolor,indswi1,Indian Swiftlet,Indian Swiftlet
Aerodramus vanikorensis,60835335,Uniform Swiftlet,,"Collocalia amelis, Collocalia palawanensis",uniswi1,Uniform Swiftlet,Uniform Swiftlet
Aerodramus vulcanorum,22686543,Volcano Swiftlet,,Collocalia vulcanorum,volswi1,Volcano Swiftlet,Volcano Swiftlet
Aerodramus whiteheadi,22686549,Whitehead's Swiftlet,,Collocalia whiteheadi,whiswi1,Whitehead's Swiftlet,Whitehead's Swiftlet
Aeronautes andecolus,22686739,Andean Swift,,,andswi1,Andean Swift,Andean Swift
Aeronautes montivagus,22686736,White-tipped Swift,,,whtswi1,White-tipped Swift,White-tipped Swift
Aeronautes saxatalis,22686733,White-throated Swift,,,whtswi,White-throated Swift,White-throated Swift
Aethia cristatella,22694915,Crested Auklet,,,creauk,Crested Auklet,Crested Auklet
