CATEGORY,SPECIES_CODE,PRIMARY_COM_NAME,SCI_NAME
species,rbwqua1,Rufous-breasted Wood-Quail,Odontophorus speciosus
species,tawqua1,Tacarcuna Wood-Quail,Odontophorus dialeucos
species,gowqua1,Gorgeted Wood-Quail,Odontophorus strophium
species,venwoq1,Venezuelan Wood-Quail,Odontophorus columbianus
species,bbwqua1,Black-breasted Wood-Quail,Odontophorus leucolaemus
species,sfwqua1,Stripe-faced Wood-Quail,Odontophorus balliviani
species,stwqua1,Starred Wood-Quail,Odontophorus stellatus
species,spwqua1,Spotted Wood-Quail,Odontophorus guttatus
species,udzpar1,Udzungwa Partridge,Xenoperdix udzungwensis
species,ferpar2,Ferruginous Partridge,Caloperdix oculeus
species,crepar1,Crested Partridge,Rollulus rouloul
species,blapar2,Black Partridge,Melanoperdix niger
species,hilpar1,Hill Partridge,Arborophila torqueola
species,sicpar1,Sichuan Partridge,Arborophila rufipectus
species,chbpar2,Chestnut-breasted Partridge,Arborophila mandellii
species,whnpar2,White-necklaced Partridge,Arborophila gingica
species,rutpar1,Rufous-throated Partridge,Arborophila rufogularis
species,rebpar3,Red-billed Partridge,Arborophila rubrirostris
species,chhpar1,Chestnut-headed Partridge,Arborophila cambodiana
species,haipar1,Hainan Partridge,Arborophila ardens
species,taipar1,Taiwan Partridge,Arborophila crudigularis
species,whcpar1,White-cheeked Partridge,Arborophila atrogularis
species,babpar1,Bar-backed Partridge,Arborophila brunneopectus
species,ornpar1,Orange-necked Partridge,Arborophila davidi
species,rebpar5,Red-breasted Partridge,Arborophila hyperythra
species,gybpar3,Malayan Partridge,Arborophila campbelli
species,gybpar5,Roll's Partridge,Arborophila rolli
species,gybpar6,Sumatran Partridge,Arborophila sumatrana
species,chbpar1,Chestnut-bellied Partridge,Arborophila javanica
species,gybpar4,Gray-breasted Partridge,Arborophila orientalis
species,snopar1,Snow Partridge,Lerwa lerwa
species,blophe1,Blood Pheasant,Ithaginis cruentus
species,westra1,Western Tragopan,Tragopan melanocephalus
species,sattra1,Satyr Tragopan,Tragopan satyra
species,blytra1,Blyth's Tragopan,Tragopan blythii
species,temtra1,Temminck's Tragopan,Tragopan temminckii
species,cabtra1,Cabot's Tragopan,Tragopan caboti
species,verpar1,Verreaux's Partridge,Tetraophasis obscurus
species,szepar1,Szechenyi's Partridge,Tetraophasis szechenyii
species,himmon1,Himalayan Monal,Lophophorus impejanus
species,sclmon1,Sclater's Monal,Lophophorus sclateri
species,chimon1,Chinese Monal,Lophophorus lhuysii
species,kokphe1,Koklass Pheasant,Pucrasia macrolopha
species,wiltur,Wild Turkey,Meleagris gallopavo
species,ocetur1,Ocellated Turkey,Meleagris ocellata
species,rufgro,Ruffed Grouse,Bonasa umbellus
species,hazgro1,Hazel Grouse,Tetrastes bonasia
species,sevgro1,Severtzov's Grouse,Tetrastes sewerzowi
species,saggro,Greater Sage-Grouse,Centrocercus urophasianus
species,gusgro,Gunnison Sage-Grouse,Centrocercus minimus
species,dusgro,Dusky Grouse,Dendragapus obscurus
species,soogro1,Sooty Grouse,Dendragapus fuliginosus
species,shtgro,Sharp-tailed Grouse,Tympanuchus phasianellus
species,grpchi,Greater Prairie-Chicken,Tympanuchus cupido
species,lepchi,Lesser Prairie-Chicken,Tympanuchus pallidicinctus
species,whtpta1,White-tailed Ptarmigan,Lagopus leucura
species,wilpta,Willow Ptarmigan,Lagopus lagopus
species,rocpta1,Rock Ptarmigan,Lagopus muta
species,sibgro2,Siberian Grouse,Falcipennis falcipennis
species,sprgro,Spruce Grouse,Canachites canadensis
species,blbcap1,Black-billed Capercaillie,Tetrao urogalloides
species,wescap1,Western Capercaillie,Tetrao urogallus
species,blagro1,Black Grouse,Lyrurus tetrix
species,caugro1,Caucasian Grouse,Lyrurus mlokosiewiczi
species,lobpar3,Long-billed Partridge,Rhizothera longirostris
species,lobpar2,Dulit Partridge,Rhizothera dulitensis
species,tibpar1,Tibetan Partridge,Perdix hodgsoniae
species,grypar,Gray Partridge,Perdix perdix
species,daupar1,Daurian Partridge,Perdix dauurica
species,copphe1,Copper Pheasant,Syrmaticus soemmerringii
species,reephe1,Reeves's Pheasant,Syrmaticus reevesii
species,mikphe1,Mikado Pheasant,Syrmaticus mikado
species,ellphe1,Elliot's Pheasant,Syrmaticus ellioti
species,humphe1,Hume's Pheasant,Syrmaticus humiae
species,golphe,Golden Pheasant,Chrysolophus pictus
species,laaphe1,Lady Amherst's Pheasant,Chrysolophus amherstiae
species,rinphe1,Ring-necked Pheasant,Phasianus colchicus
species,rinphe2,Green Pheasant,Phasianus versicolor
species,chephe1,Cheer Pheasant,Catreus wallichii
species,whieap2,Tibetan Eared-Pheasant,Crossoptilon harmani
species,whieap1,White Eared-Pheasant,Crossoptilon crossoptilon
species,brephe1,Brown Eared-Pheasant,Crossoptilon mantchuricum
species,blephe1,Blue Eared-Pheasant,Crossoptilon auritum
species,edwphe1,Edwards's Pheasant,Lophura edwardsi
species,swiphe1,Swinhoe's Pheasant,Lophura swinhoii
species,bulphe1,Bulwer's Pheasant,Lophura bulweri
species,kalphe,Kalij Pheasant,Lophura leucomelanos
species,silphe,Silver Pheasant,Lophura nycthemera
species,crefir5,Malayan Crestless Fireback,Lophura erythrophthalma
species,crefir6,Bornean Crestless Fireback,Lophura pyronota
species,siafir1,Siamese Fireback,Lophura diardi
species,salphe1,Salvadori's Pheasant,Lophura inornata
species,crefir3,Malayan Crested Fireback,Lophura rufa
species,crefir4,Bornean Crested Fireback,Lophura ignita
species,crearg1,Vietnamese Crested Argus,Rheinardia ocellata
species,crearg3,Malayan Crested Argus,Rheinardia nigrescens
species,grearg1,Great Argus,Argusianus argus
species,conpea1,Congo Peacock,Afropavo congensis
species,compea,Indian Peafowl,Pavo cristatus
species,grepea1,Green Peafowl,Pavo muticus
species,scbpar1,Scaly-breasted Partridge,Tropicoperdix chloropus
species,chnpar1,Chestnut-necklaced Partridge,Tropicoperdix charltonii
species,chnpar3,Sabah Partridge,Tropicoperdix graydoni
species,crhpar1,Crimson-headed Partridge,Haematortyx sanguiniceps
species,redspu1,Red Spurfowl,Galloperdix spadicea
species,paispu1,Painted Spurfowl,Galloperdix lunulata
species,ceyspu1,Sri Lanka Spurfowl,Galloperdix bicalcarata
species,palpep1,Palawan Peacock-Pheasant,Polyplectron napoleonis
species,bopphe1,Bornean Peacock-Pheasant,Polyplectron schleiermacheri
species,mapphe1,Malayan Peacock-Pheasant,Polyplectron malacense
species,gepphe1,Germain's Peacock-Pheasant,Polyplectron germaini
species,grypep3,Hainan Peacock-Pheasant,Polyplectron katsumatae
species,grypep2,Gray Peacock-Pheasant,Polyplectron bicalcaratum
species,mopphe1,Mountain Peacock-Pheasant,Polyplectron inopinatum
species,btpphe1,Bronze-tailed Peacock-Pheasant,Polyplectron chalcurum
species,mobpar1,Mountain Bamboo-Partridge,Bambusicola fytchii
species,chbpar3,Chinese Bamboo-Partridge,Bambusicola thoracicus
species,taibap1,Taiwan Bamboo-Partridge,Bambusicola sonorivox
species,grejun1,Green Junglefowl,Gallus varius
species,redjun,Red Junglefowl,Gallus gallus
species,grejun2,Gray Junglefowl,Gallus sonneratii
species,ceyjun1,Sri Lanka Junglefowl,Gallus lafayettii
species,forfra2,Latham's Francolin,Peliperdix lathami
species,crefra2,Crested Francolin,Ortygornis sephaena
species,gryfra,Gray Francolin,Ortygornis pondicerianus
species,swafra1,Swamp Francolin,Ortygornis gularis
species,chifra1,Chinese Francolin,Francolinus pintadeanus
species,blkfra,Black Francolin,Francolinus francolinus
species,paifra1,Painted Francolin,Francolinus pictus
species,coqfra2,Coqui Francolin,Campocolinus coqui
species,whtfra2,White-throated Francolin,Campocolinus albogularis
species,schfra2,Schlegel's Francolin,Campocolinus schlegelii
species,rinfra2,Ring-necked Francolin,Scleroptila streptophora
species,rewfra2,Red-winged Francolin,Scleroptila levaillantii
species,finfra2,Finsch's Francolin,Scleroptila finschi
species,moofra2,Moorland Francolin,Scleroptila psilolaema
species,moofra3,Elgon Francolin,Scleroptila elgonensis
species,gywfra1,Gray-winged Francolin,Scleroptila afra
species,orrfra2,Orange River Francolin,Scleroptila gutturalis
species,shefra1,Shelley's Francolin,Scleroptila shelleyi
species,shefra3,Whyte's Francolin,Scleroptila whytei
species,tibsno1,Tibetan Snowcock,Tetraogallus tibetanus
species,altsno1,Altai Snowcock,Tetraogallus altaicus
species,causno1,Caucasian Snowcock,Tetraogallus caucasicus
species,cassno1,Caspian Snowcock,Tetraogallus caspius
species,himsno,Himalayan Snowcock,Tetraogallus himalayensis
species,sespar1,See-see Partridge,Ammoperdix griseogularis
