scientificName,IUCN_Species_Code,IUCN_common_name,altcommonNames,Synonym
Alaudala rufescens,216912644,Mediterranean Short-toed Lark,,
Alaudala somalica,22717340,Somali Short-toed Lark,Rufous Short-toed Lark,Calandrella somalica
Alca torda,22694852,Razorbill,,
Alcedo atthis,22683027,Common Kingfisher,"European Kingfisher, Kingfisher",
Alcedo coerulescens,22683117,Cerulean Kingfisher,,
Alcedo euryzona,22726971,Javan Blue-banded Kingfisher,Blue-banded Kingfisher,
Alcedo hercules,22683024,Blyth's Kingfisher,,
Alcedo meninting,22683042,Blue-eared Kingfisher,,
Alcedo peninsulae,22726979,Malay Blue-banded Kingfisher,,
Alcedo quadribrachys,22683037,Shining-blue Kingfisher,,
Alcedo semitorquata,22683033,Half-collared Kingfisher,,
Alcippe brunneicauda,22716630,Brown Fulvetta,,Hyloterpe brunneicauda
Alcippe grotei,22734608,Black-browed Fulvetta,,
Alcippe morrisonia,22716644,Grey-cheeked Fulvetta,,
Alcippe nipalensis,22716647,Nepal Fulvetta,,Siva Nipalensis
Alcippe peracensis,22735187,Mountain Fulvetta,,
Alcippe poioicephala,22716633,Brown-cheeked Fulvetta,,Thimalia poioicephala
Alcippe pyrrhoptera,22716636,Javan Fulvetta,,
Alcurus striatus,22712607,Striated Bulbul,,Pycnonotus striatus
Aleadryas rufinucha,22705428,Rufous-naped Bellbird,Rufous-naped Whistler,
Alectoris barbara,22678707,Barbary Partridge,,
Alectoris chukar,22678691,Chukar,"Chuckar, Chukar Partridge",
Alectoris graeca,22678684,Rock Partridge,,
Alectoris magna,22678703,Przevalski's Partridge,,
Alectoris melanocephala,22678714,Arabian Partridge,Arabian Red-legged Partridge,
Alectoris philbyi,22678698,Philby's Partridge,Philby's Rock Partridge,
Alectoris rufa,22678711,Red-legged Partridge,,
Alectroenas madagascariensis,22691588,Madagascar Blue-pigeon,"Madagascar Blue Pigeon, Madagascar Blue-Pigeon",
Alectroenas nitidissimus,22691601,Mauritius Blue-pigeon,Mauritius Blue-Pigeon,Alectroenas nitidissima
Alectroenas payandeei,62759683,Rodrigues Blue-pigeon,,
Alectroenas pulcherrimus,22691605,Seychelles Blue-pigeon,"Seychelles Blue Pigeon, Seychelles Blue-Pigeon",Alectroenas pulcherrima
Alectroenas sganzini,22691594,Comoro Blue-pigeon,"Comoro Blue Pigeon, Comoro Blue-Pigeon, Comoros Blue Pigeon",
Alectrurus risora,22700303,Strange-tailed Tyrant,,"Yetapa risoria risoria, Alectrurus risorus risorus"
Alectrurus tricolor,22700300,Cock-tailed Tyrant,,
Alectura lathami,22678551,Australian Brush-turkey,Australian Brushturkey,
Alethe castanea,22709022,Fire-crested Alethe,,
Alethe diademata,22730755,White-tailed Alethe,,
Alexandrinus eques,22685448,Echo Parakeet,Mascarene Parrakeet,"Psittacula echo, Psittacula eques, Psittacus eques"
Alexandrinus exsul,22685465,Rodrigues Parakeet,,Psittacula exsul
Alexandrinus krameri,22685441,Rose-ringed Parakeet,"Ring-necked Parakeet, Rose-ringed Parrakeet",Psittacula krameri
Alipiopsitta xanthops,22686311,Yellow-faced Amazon,Yellow-faced Parrot,Amazona xanthops
